Time	Default/Point#1	Default/Point#1	Default/Point#1	Velocity (Default/Point#81)	Velocity (Default/Point#1)	Velocity (Default/Point#1)	/Angle#1	Velocity (/Angle#1)	
	x[mm]	y[mm]	abs[mm]	abs[m/s]	x[m/s]	y[m/s]	angle[degrees]	angular speed[°/s]	
[ms]	210602172914	210602172914	210602172914	210602172914	210602172914	210602172914	210602172914	210602172914	
0.0000	0.166175	0.142945	0.219197	X	X	X	X	X
125.0000	0.166182	0.143001	0.219239	4.9810e-07	-2.2620e-07	4.4378e-07	X	X
250.0000	0.166118	0.143056	0.219227	1.0416e-06	-5.7081e-07	8.7124e-07	X	X
375.0000	0.166258	0.142789	0.219158	1.8099e-06	-1.1968e-06	1.3577e-06	X	X
500.0000	0.165780	0.143596	0.219324	1.6428e-06	-1.0922e-06	1.2272e-06	X	X
625.0000	0.165503	0.143626	0.219134	1.4054e-06	-9.2591e-07	1.0573e-06	X	X
750.0000	0.165344	0.143932	0.219215	1.0911e-06	-7.3575e-07	8.0567e-07	X	X
875.0000	0.165371	0.143979	0.219266	2.8235e-07	-2.6615e-07	9.4253e-08	X	X
1000.0000	0.165311	0.143865	0.219146	3.2937e-07	4.4260e-09	-3.2934e-07	X	X
1125.0000	0.165271	0.144071	0.219251	6.3006e-07	1.9376e-07	-5.9952e-07	X	X
1250.0000	0.165284	0.143968	0.219193	5.3875e-07	1.8929e-07	-5.0440e-07	X	X
1375.0000	0.165306	0.143975	0.219214	5.6487e-07	2.3499e-07	-5.1367e-07	X	X
1500.0000	0.165344	0.143791	0.219122	4.2275e-07	2.1185e-07	-3.6584e-07	X	X
1625.0000	0.165906	0.143024	0.219045	2.8735e-07	1.4136e-07	-2.5017e-07	X	X
1750.0000	0.166462	0.141918	0.218747	6.8794e-08	3.6347e-08	-5.8408e-08	X	X
1875.0000	0.166526	0.141879	0.218771	1.5701e-07	-6.5457e-08	1.4271e-07	X	X
2000.0000	0.166162	0.142429	0.218852	4.7615e-07	-1.8285e-07	4.3964e-07	X	X
2125.0000	0.165263	0.144111	0.219272	1.0676e-06	-4.1402e-07	9.8410e-07	X	X
2250.0000	0.165233	0.144046	0.219205	1.6886e-06	-5.8575e-07	1.5837e-06	X	X
2375.0000	0.165288	0.144088	0.219275	2.2363e-06	-6.6894e-07	2.1339e-06	X	X
2500.0000	0.165298	0.143963	0.219200	2.5173e-06	-7.1638e-07	2.4132e-06	X	X
2625.0000	0.165277	0.144041	0.219236	2.4774e-06	-5.1060e-07	2.4242e-06	X	X
2750.0000	0.165253	0.144050	0.219224	2.2164e-06	1.4338e-08	2.2164e-06	X	X
2875.0000	0.165226	0.144670	0.219611	2.5821e-06	6.6296e-07	2.4955e-06	X	X
3000.0000	0.164692	0.145787	0.219948	2.3181e-06	1.1991e-06	1.9838e-06	X	X
3125.0000	0.164891	0.146426	0.220521	2.3699e-06	1.4690e-06	1.8596e-06	X	X
3250.0000	0.165253	0.146522	0.220856	2.3426e-06	1.6327e-06	1.6798e-06	X	X
3375.0000	0.165381	0.145742	0.220434	2.2326e-06	1.5930e-06	1.5643e-06	X	X
3500.0000	0.166010	0.145556	0.220784	1.7637e-06	1.1653e-06	1.3239e-06	X	X
3625.0000	0.166984	0.146088	0.221868	1.2817e-06	7.2741e-07	1.0553e-06	X	X
3750.0000	0.167604	0.149163	0.224367	7.6428e-07	3.0030e-07	7.0281e-07	X	X
3875.0000	0.167611	0.145620	0.222033	3.6989e-07	-1.0027e-07	3.5604e-07	X	X
4000.0000	0.167515	0.146091	0.222270	5.6104e-07	-5.2904e-07	1.8677e-07	X	X
4125.0000	0.167341	0.146170	0.222191	6.4277e-07	-5.8332e-07	2.6999e-07	X	X
4250.0000	0.166561	0.146747	0.221985	9.1659e-07	-6.0517e-07	6.8840e-07	X	X
4375.0000	0.164793	0.146646	0.220594	1.0730e-06	-7.1778e-07	7.9757e-07	X	X
4500.0000	0.164692	0.146798	0.220620	1.1774e-06	-7.9826e-07	8.6543e-07	X	X
4625.0000	0.164691	0.146762	0.220595	1.2354e-06	-8.1014e-07	9.3264e-07	X	X
4750.0000	0.164773	0.146470	0.220462	1.6023e-06	-7.2568e-07	1.4286e-06	X	X
4875.0000	0.165178	0.146338	0.220678	1.1949e-06	-6.3513e-07	1.0121e-06	X	X
5000.0000	0.166893	0.146949	0.222367	8.4886e-07	-5.4207e-07	6.5324e-07	X	X
5125.0000	0.166927	0.148590	0.223481	5.3202e-07	-4.0450e-07	3.4558e-07	X	X
5250.0000	0.166567	0.148231	0.222973	3.3925e-07	-3.2686e-07	9.0869e-08	X	X
5375.0000	0.166178	0.148592	0.222923	6.5914e-07	-5.7432e-07	-3.2346e-07	X	X
5500.0000	0.165431	0.148415	0.222249	7.3909e-07	-3.9288e-07	-6.2602e-07	X	X
5625.0000	0.164983	0.147377	0.221222	9.0725e-07	-1.3378e-07	-8.9733e-07	X	X
5750.0000	0.164630	0.146609	0.220448	1.2417e-06	6.6909e-08	-1.2399e-06	X	X
5875.0000	0.164327	0.146500	0.220149	1.5835e-06	2.5812e-07	-1.5623e-06	X	X
6000.0000	0.164294	0.146723	0.220273	1.8206e-06	6.5985e-07	-1.6968e-06	X	X
6125.0000	0.164450	0.146408	0.220179	1.7716e-06	9.2618e-07	-1.5103e-06	X	X
6250.0000	0.164544	0.145677	0.219764	1.7519e-06	9.4869e-07	-1.4728e-06	X	X
6375.0000	0.166767	0.145923	0.221596	1.5513e-06	8.4806e-07	-1.2990e-06	X	X
6500.0000	0.167454	0.145996	0.222161	1.2387e-06	6.1834e-07	-1.0734e-06	X	X
6625.0000	0.167462	0.145864	0.222081	9.9866e-07	3.8511e-07	-9.2142e-07	X	X
6750.0000	0.167336	0.146029	0.222094	9.0021e-07	2.8138e-07	-8.5510e-07	X	X
6875.0000	0.166737	0.146227	0.221773	8.0442e-07	2.4424e-07	-7.6644e-07	X	X
7000.0000	0.165998	0.145853	0.220972	6.5249e-07	2.4383e-07	-6.0522e-07	X	X
7125.0000	0.165059	0.145127	0.219787	5.3419e-07	2.3681e-07	-4.7883e-07	X	X
7250.0000	0.164672	0.144952	0.219381	5.0854e-07	1.4840e-07	-4.8640e-07	X	X
7375.0000	0.164665	0.144893	0.219337	4.7248e-07	2.3721e-07	-4.0861e-07	X	X
7500.0000	0.165050	0.145209	0.219834	4.4187e-07	2.5127e-07	-3.6347e-07	X	X
7625.0000	0.166110	0.145349	0.220724	4.1351e-07	2.1957e-07	-3.5040e-07	X	X
7750.0000	0.167001	0.145405	0.221432	3.6052e-07	1.8855e-07	-3.0729e-07	X	X
7875.0000	0.167605	0.145356	0.221855	2.0863e-07	8.6260e-08	-1.8996e-07	X	X
8000.0000	0.167867	0.145347	0.222047	1.3030e-07	-7.2083e-08	-1.0855e-07	X	X
8125.0000	0.167840	0.145361	0.222036	2.6108e-07	-2.4179e-07	-9.8490e-08	X	X
8250.0000	0.166656	0.145461	0.221208	3.1779e-07	-2.8304e-07	-1.4450e-07	X	X
8375.0000	0.165482	0.145148	0.220119	2.6260e-07	-1.8475e-07	-1.8662e-07	X	X
8500.0000	0.164962	0.145018	0.219642	1.9552e-07	-1.0463e-07	-1.6517e-07	X	X
8625.0000	0.164753	0.144859	0.219380	1.5015e-07	1.1094e-07	-1.0119e-07	X	X
8750.0000	0.164711	0.144837	0.219335	2.9215e-07	2.9095e-07	-2.6466e-08	X	X
8875.0000	0.164986	0.144886	0.219573	3.5920e-07	3.5898e-07	1.2549e-08	X	X
9000.0000	0.165859	0.145221	0.220450	3.8976e-07	3.8947e-07	-1.4940e-08	X	X
9125.0000	0.167057	0.145153	0.221309	4.6945e-07	4.6765e-07	-4.1036e-08	X	X
9250.0000	0.168104	0.145269	0.222175	3.7189e-07	3.7077e-07	-2.8833e-08	X	X
9375.0000	0.168064	0.145280	0.222152	1.4503e-07	1.3000e-07	-6.4297e-08	X	X
9500.0000	0.167960	0.145343	0.222115	1.2186e-07	-1.2058e-07	-1.7607e-08	X	X
9625.0000	0.167029	0.145331	0.221404	2.4075e-07	-2.0734e-07	1.2235e-07	X	X
9750.0000	0.165782	0.145198	0.220378	3.5564e-07	-3.0304e-07	1.8615e-07	X	X
9875.0000	0.165035	0.144854	0.219589	4.6010e-07	-4.0520e-07	2.1794e-07	X	X
10000.0000	0.164899	0.144774	0.219434	5.1950e-07	-4.0260e-07	3.2832e-07	X	X
10125.0000	0.164957	0.144767	0.219473	5.3279e-07	-2.2354e-07	4.8362e-07	X	X
10250.0000	0.165337	0.144787	0.219771	5.9831e-07	2.5804e-08	5.9775e-07	X	X
10375.0000	0.165861	0.145295	0.220500	5.5443e-07	7.7549e-08	5.4898e-07	X	X
10500.0000	0.167048	0.145983	0.221847	5.3167e-07	1.7365e-07	5.0251e-07	X	X
10625.0000	0.167378	0.145788	0.221967	4.7134e-07	1.2762e-07	4.5373e-07	X	X
10750.0000	0.167413	0.145708	0.221941	3.9425e-07	-3.0613e-08	3.9306e-07	X	X
10875.0000	0.167286	0.145835	0.221929	3.3204e-07	-1.8295e-07	2.7709e-07	X	X
11000.0000	0.167003	0.146225	0.221972	2.0615e-07	-3.7758e-08	2.0266e-07	X	X
11125.0000	0.166150	0.146040	0.221209	4.3054e-07	3.9422e-07	1.7308e-07	X	X
11250.0000	0.164929	0.145323	0.219819	7.0394e-07	6.8716e-07	1.5275e-07	X	X
11375.0000	0.164821	0.145269	0.219702	9.6443e-07	9.2517e-07	2.7237e-07	X	X
11500.0000	0.164727	0.145260	0.219626	1.3346e-06	1.2234e-06	5.3348e-07	X	X
11625.0000	0.165261	0.145343	0.220081	1.6050e-06	1.5083e-06	5.4863e-07	X	X
11750.0000	0.166070	0.145480	0.220780	1.8641e-06	1.8176e-06	4.1352e-07	X	X
11875.0000	0.167861	0.145869	0.222385	2.1581e-06	2.1382e-06	2.9252e-07	X	X
12000.0000	0.169653	0.146257	0.223993	2.4006e-06	2.3862e-06	2.6191e-07	X	X
12125.0000	0.169194	0.146493	0.223801	2.4226e-06	2.4108e-06	2.3935e-07	X	X
12250.0000	0.168871	0.146856	0.223795	2.2921e-06	2.2834e-06	2.0048e-07	X	X
12375.0000	0.168246	0.147000	0.223419	2.1860e-06	2.1807e-06	1.5332e-07	X	X
12500.0000	0.167973	0.146139	0.222647	1.9031e-06	1.9029e-06	2.3006e-08	X	X
12625.0000	0.168140	0.145529	0.222374	1.5680e-06	1.5627e-06	-1.2900e-07	X	X
12750.0000	0.168445	0.145429	0.222538	1.2811e-06	1.2584e-06	-2.4025e-07	X	X
12875.0000	0.168572	0.145378	0.222601	1.1369e-06	1.1193e-06	-1.9900e-07	X	X
13000.0000	0.168653	0.145508	0.222747	1.2223e-06	1.2085e-06	-1.8283e-07	X	X
13125.0000	0.169647	0.146170	0.223932	1.3072e-06	1.2769e-06	-2.8025e-07	X	X
13250.0000	0.170567	0.146311	0.224722	1.3455e-06	1.3118e-06	-2.9921e-07	X	X
13375.0000	0.170621	0.146054	0.224596	1.1929e-06	1.1677e-06	-2.4369e-07	X	X
13500.0000	0.170540	0.145965	0.224476	9.9258e-07	9.2886e-07	-3.4990e-07	X	X
13625.0000	0.170548	0.146100	0.224571	9.8744e-07	9.0924e-07	-3.8513e-07	X	X
13750.0000	0.169967	0.146508	0.224396	1.1357e-06	1.0673e-06	-3.8839e-07	X	X
13875.0000	0.169363	0.146030	0.223626	1.2371e-06	1.1312e-06	-5.0084e-07	X	X
14000.0000	0.169741	0.145159	0.223346	1.3159e-06	1.1777e-06	-5.8702e-07	X	X
14125.0000	0.170021	0.144946	0.223420	1.3610e-06	1.2631e-06	-5.0687e-07	X	X
14250.0000	0.170005	0.144881	0.223365	1.2618e-06	1.2259e-06	-2.9886e-07	X	X
14375.0000	0.170094	0.144754	0.223351	1.0561e-06	1.0245e-06	-2.5639e-07	X	X
14500.0000	0.171302	0.145608	0.224824	8.2644e-07	7.8119e-07	-2.6969e-07	X	X
14625.0000	0.172294	0.145894	0.225766	6.7313e-07	6.3892e-07	-2.1188e-07	X	X
14750.0000	0.172228	0.145473	0.225443	3.6613e-07	3.6471e-07	-3.2132e-08	X	X
14875.0000	0.172571	0.145469	0.225703	1.8893e-07	-1.2458e-07	1.4204e-07	X	X
15000.0000	0.172189	0.145538	0.225456	5.8305e-07	-5.0418e-07	2.9282e-07	X	X
15125.0000	0.170888	0.145926	0.224715	7.2453e-07	-6.2235e-07	3.7097e-07	X	X
15250.0000	0.170051	0.145337	0.223696	7.7102e-07	-7.2913e-07	2.5069e-07	X	X
15375.0000	0.169853	0.145057	0.223364	8.4792e-07	-8.4348e-07	8.6690e-08	X	X
15500.0000	0.170250	0.145129	0.223713	7.3229e-07	-7.1496e-07	1.5838e-07	X	X
15625.0000	0.170211	0.145134	0.223687	6.6187e-07	-5.7749e-07	3.2339e-07	X	X
15750.0000	0.169862	0.145456	0.223630	5.1554e-07	-4.5737e-07	2.3789e-07	X	X
15875.0000	0.170049	0.146252	0.224291	1.2745e-07	-1.1971e-07	4.3726e-08	X	X
16000.0000	0.171080	0.146288	0.225097	2.2913e-07	1.9696e-07	-1.1707e-07	X	X
16125.0000	0.171307	0.145563	0.224799	3.3347e-07	2.8273e-07	-1.7684e-07	X	X
16250.0000	0.171353	0.145587	0.224850	2.1586e-07	1.2780e-07	-1.7396e-07	X	X
16375.0000	0.171367	0.145908	0.225069	1.1040e-07	7.5895e-08	-8.0178e-08	X	X
16500.0000	0.170287	0.146091	0.224366	2.0989e-07	1.7333e-07	-1.1836e-07	X	X
16625.0000	0.169990	0.145347	0.223657	3.3751e-07	2.3176e-07	-2.4535e-07	X	X
16750.0000	0.170365	0.144791	0.223582	3.6595e-07	1.8564e-07	-3.1537e-07	X	X
16875.0000	0.170382	0.144781	0.223588	1.9762e-07	1.2159e-07	-1.5579e-07	X	X
17000.0000	0.170457	0.144735	0.223615	1.9848e-07	1.4496e-07	1.3559e-07	X	X
17125.0000	0.170148	0.145552	0.223910	1.3315e-07	1.0529e-07	8.1502e-08	X	X
17250.0000	0.170903	0.146356	0.225007	1.3743e-07	1.3698e-07	1.1042e-08	X	X
17375.0000	0.171346	0.145800	0.224983	2.1478e-07	2.1360e-07	2.2436e-08	X	X
17500.0000	0.171352	0.145446	0.224758	1.3352e-07	8.7261e-08	1.0106e-07	X	X
17625.0000	0.171392	0.145408	0.224763	2.1620e-07	-1.7281e-07	1.2992e-07	X	X
17750.0000	0.171306	0.145639	0.224848	2.9479e-07	-2.3428e-07	1.7893e-07	X	X
17875.0000	0.170745	0.146169	0.224765	2.8995e-07	-2.2439e-07	1.8362e-07	X	X
18000.0000	0.170122	0.145254	0.223697	4.6211e-07	-4.4021e-07	1.4056e-07	X	X
18125.0000	0.170257	0.145101	0.223700	7.2914e-07	-6.3458e-07	3.5910e-07	X	X
18250.0000	0.170309	0.145073	0.223722	1.0698e-06	-7.7672e-07	7.3569e-07	X	X
18375.0000	0.170377	0.145082	0.223779	1.2076e-06	-8.4926e-07	8.5855e-07	X	X
18500.0000	0.170062	0.145538	0.223835	1.1656e-06	-9.3045e-07	7.0214e-07	X	X
18625.0000	0.170636	0.146302	0.224768	1.1374e-06	-1.0341e-06	4.7363e-07	X	X
18750.0000	0.171012	0.146308	0.225058	1.1374e-06	-1.0928e-06	3.1552e-07	X	X
18875.0000	0.169888	0.146340	0.224226	1.2041e-06	-1.1725e-06	2.7404e-07	X	X
19000.0000	0.170267	0.146943	0.224907	1.3011e-06	-1.2986e-06	8.1670e-08	X	X
19125.0000	0.169682	0.147013	0.224510	1.0656e-06	-1.0655e-06	-1.0002e-08	X	X
19250.0000	0.169349	0.146474	0.223905	7.6370e-07	-7.4036e-07	-1.8733e-07	X	X
19375.0000	0.169014	0.145578	0.223066	5.3498e-07	-3.5787e-07	-3.9767e-07	X	X
19500.0000	0.168523	0.145280	0.222500	5.1008e-07	-4.5435e-08	-5.0805e-07	X	X
19625.0000	0.168435	0.145349	0.222479	5.5554e-07	3.9869e-07	-3.8687e-07	X	X
19750.0000	0.168561	0.145286	0.222533	8.3411e-07	7.6427e-07	-3.3411e-07	X	X
19875.0000	0.168729	0.145450	0.222768	1.0018e-06	8.7825e-07	-4.8205e-07	X	X
20000.0000	0.170171	0.146157	0.224322	1.2606e-06	1.0828e-06	-6.4546e-07	X	X
20125.0000	0.170560	0.145911	0.224457	1.3608e-06	1.1692e-06	-6.9639e-07	X	X
20250.0000	0.170805	0.145856	0.224607	1.4283e-06	1.2053e-06	-7.6637e-07	X	X
20375.0000	0.170877	0.145945	0.224720	1.4582e-06	1.1679e-06	-8.7314e-07	X	X
20500.0000	0.170995	0.146288	0.225033	1.3569e-06	1.0869e-06	-8.1227e-07	X	X
20625.0000	0.170224	0.145938	0.224219	1.2431e-06	9.3436e-07	-8.1987e-07	X	X
20750.0000	0.170138	0.144845	0.223443	1.2089e-06	8.1810e-07	-8.9007e-07	X	X
20875.0000	0.170194	0.143864	0.222851	1.0993e-06	6.4222e-07	-8.9222e-07	X	X
21000.0000	0.170260	0.143907	0.222930	8.5822e-07	6.3789e-07	-5.7413e-07	X	X
21125.0000	0.170473	0.143985	0.223142	6.8858e-07	6.0041e-07	-3.3711e-07	X	X
21250.0000	0.170648	0.144469	0.223589	6.2261e-07	5.7742e-07	-2.3286e-07	X	X
21375.0000	0.171225	0.145489	0.224689	6.1729e-07	6.1013e-07	-9.3746e-08	X	X
21500.0000	0.171354	0.145097	0.224533	7.1212e-07	7.0564e-07	9.5856e-08	X	X
21625.0000	0.171808	0.144821	0.224702	6.5617e-07	6.0332e-07	2.5799e-07	X	X
21750.0000	0.171782	0.144906	0.224737	5.5894e-07	5.1606e-07	2.1470e-07	X	X
21875.0000	0.171427	0.145622	0.224929	5.2276e-07	5.1121e-07	-1.0928e-07	X	X
22000.0000	0.170997	0.145421	0.224471	9.6781e-07	8.8153e-07	-3.9943e-07	X	X
22125.0000	0.170852	0.144750	0.223926	1.3680e-06	1.1743e-06	-7.0175e-07	X	X
22250.0000	0.171055	0.144665	0.224026	1.6291e-06	1.3901e-06	-8.4937e-07	X	X
22375.0000	0.171259	0.144342	0.223974	1.7236e-06	1.5700e-06	-7.1124e-07	X	X
22500.0000	0.171189	0.144327	0.223911	1.7093e-06	1.6003e-06	-6.0040e-07	X	X
22625.0000	0.171501	0.144319	0.224144	1.7085e-06	1.5988e-06	-6.0256e-07	X	X
22750.0000	0.172043	0.143962	0.224330	1.6895e-06	1.5735e-06	-6.1519e-07	X	X
22875.0000	0.174107	0.144096	0.226002	1.5401e-06	1.4697e-06	-4.6037e-07	X	X
23000.0000	0.174027	0.143973	0.225862	1.2004e-06	1.1716e-06	-2.6121e-07	X	X
23125.0000	0.173948	0.144192	0.225941	9.5084e-07	9.4847e-07	-6.7057e-08	X	X
23250.0000	0.173581	0.144415	0.225801	8.3166e-07	8.2221e-07	1.2498e-07	X	X
23375.0000	0.173023	0.144573	0.225474	7.5817e-07	7.3621e-07	1.8118e-07	X	X
